cultura,cultivo,fazenda,E1_RRLII,E2_TIR,E3_PRC,E4_RBC,E5_VPL,E6_LL,E9_R,E11_TR,E12_DP,E13_DM,A2_DA,A3_UE,A5_UN,A6_UF,A7_EUE,A8_EUN,A9_EUF,A12_PPO,A22_REC,A4_EUC,S1_DEL,S2_UMOL,S3_RTUP,S6_PA,S8_TRUAO,S9_TRUP,S10_SLT,S11_CLP,S13_CPT,S14_DR,S18_IG,S19_IR,S20_IE
Piscicultura,Truta - race-way,1,0.447089947,31.09656301,28.95296756,6.134969325,100,99.40429466,100,20,31.57894737,40,100,0.132165764,9.574068919,12.15749311,41.12937913,91.8952061,17.77190462,4.135785229,20,30.28022195,0,0,10.26194569,33.33,0.002016448,0.032537824,98.9010989,0,28.53583208,7.180880841,100,100,41.89393939
Piscicultura,Tilapia - gaiolas - SP -  sem restricao alimentar,2,32.57686376,97.62684124,6.790095581,1.404087777,16.90853407,39.65992364,13.74836235,0.83,15.78947368,60,19.01054612,87.44311893,59.9469496,9.301260023,91.25088339,95.97149589,97.83235184,36.04737108,20,89.1614819,44.19939162,100,4.75713329,57.07416667,0.313128236,0.057498439,0.362637363,57.625,23.78409091,43.91790965,29.35876225,23.13451705,26.80288194
Piscicultura,Tilapia - gaiolas - SP - com restricao alimentar,3,32.57686376,100,6.627133287,1.443796142,16.59227503,38.94669369,13.79282322,0.83,15.78947368,60,19.01054612,100,64.02266289,9.931506849,100,100,100,36.04737108,20,100,44.19939162,100,5.083047528,57.07416667,0.27231191,0.053075482,0.362637363,57.625,22.72727273,43.91790965,29.35876225,23.13451705,26.80288194
Piscicultura,Tilapia - gaiola - RS,4,0.079365079,2.782324059,37.27041147,20,0,0,0.522275815,0.645,15.78947368,20,28.8048008,9.476714739,100,100,9.83745583,27.92942934,30.07141962,36.04737108,20,53.16692026,44.19939162,100,33.08260879,57.07416667,23.96612331,18.92208993,41.79155765,57.625,31.85441717,43.91790965,29.35876225,23.13451705,26.80288194
Piscicultura,Tambatinga - viveiro 2,5,52.43681042,26.58424764,36.51976626,1.935889046,8.80157315,17.33331109,7.982559302,8,100,26,18.80963251,0.481347492,9.869734478,8.685041876,1.113250714,1.376140478,1.138297238,100,25,53.16692026,1.033262413,100,12.78058737,84.3,27.38770473,61.90369948,41.79155765,81,0.196333796,52.10824138,0.938502674,0.851136364,0.511060606
Piscicultura,Tambatinga - viveiro 23,6,16.43207621,4.475139845,85.87750825,100,0,0,25.49225586,4.5,39.47368421,20,8.55964936,0.109777202,8.876824855,6.420557565,0.940665076,1.285893784,0.873474177,32.65692072,25,53.16692026,1.075930023,100,19.36084653,19.66666667,20.42477964,73.51020648,41.79155765,53.33333333,0.251463742,43.91790965,1.092914439,0.775568182,0.573106061
Piscicultura,Tambatinga - viveiro 250,7,11.77898382,2.18482398,100,100,0,0,90.51701292,25.8805,94.73684211,20,7.310627198,0.11746433,9.816635003,7.555188817,1.034872928,1.367635408,1.016363744,6.169567938,25,53.16692026,1.180384971,100,30.00183562,57.07416667,9.500090182,100,41.79155765,10,0.326398719,43.91790965,1.128724217,0.733522727,0.768181818
Piscicultura,Tambaqui - M amazonicum - policultivo - SP,8,100,79.8690671,12.76537969,1.879699248,73.08883772,100,42.10386772,25.8805,47.36842105,60,1.607896559,0.030500858,15.91549296,18.7962963,25.30035336,59.42187231,28.8184438,36.04737108,100,51.75339367,90,100,33.08260879,50,100,14.1534619,41.79155765,57.625,100,43.91790965,29.35876225,23.13451705,26.80288194
Piscicultura,Tilapia - tanque rede - RN,10,7.028174603,85.10638298,17.49128622,7.407407407,5.455841821,16.88142908,6.200953946,75,78.94736842,100,19.01054612,36.26810855,9.589041096,19.53801732,7.067137809,24.13654388,21.3005889,36.04737108,20,53.16692026,44.19939162,100,26.5300689,100,0.906183369,0.389220202,100,100,95.45454545,100,91.67303285,62.5,100
Piscicultura,Lambari - semi intensivo - baixo controle,11,26.45502646,30.96951712,45.43670798,0.934675959,7.217078778,9.585201237,6.183315326,35,52.63157895,53.33333333,0.745978907,0.033355741,10.89667258,4.457804186,18.34699741,50.65661044,7.208970998,15.70510796,100,57.15059132,100,100,100,100,24.59613148,0.609327854,9.877899878,100,13.97971957,7.081322497,5.3412274,1.768939394,7.797979798
Piscicultura,Lambari - semi intensivo - médio controle,12,46.7372134,42.82462164,29.65618278,0.56295317,42.68804768,65.74928652,28.43044096,57,47.36842105,60,2.422368379,0.033336668,7.7107606,4.489006167,0.441621975,54.59715944,0.568266956,56.62863002,100,14.60052056,88.88888889,100,43.39964648,30.55333333,39.64902283,0.237192547,39.08424908,70,14.46969697,39.54193367,10.12223071,5.795454545,26.11111111
Piscicultura,Lambari - semi intensivo - alto controle,13,64.37389771,49.04217275,39.85749862,1.134231936,7.587546346,14.36987871,8.853826148,57,36.84210526,66.66666667,2.833961323,0.036190805,7.443404582,4.949783362,0.392872504,60.44014171,0.800189306,37.03558572,100,29.22223242,71.41666667,100,58.34895505,38.74333333,43.99756903,0.178378552,43.95238095,46.66666667,19.01515152,57.59507953,24.57346575,12.65151515,36.76767677
